1	1	1	Vượt Dòng
1	1	2	Giải Thoát
1	1	3	Đưa Đến Gần
1	1	4	Thời Gian Trôi Qua
1	1	5	Cắt Bao Nhiêu
1	1	6	Thức Tỉnh
1	1	7	Không Thấu Hiểu
1	1	8	Hoàn Toàn Quên Mất
1	1	9	Kẻ Mong Cầu Kiêu Mạn
1	1	10	Rừng Vắng
1	2	1	Vườn Hoan Hỷ
1	2	2	Vui Mừng
1	2	3	Không Gì Bằng Con
1	2	4	Sát-đế-lỵ
1	2	5	Tiếng Vang Rừng Sâu
1	2	6	Ngủ Nghê Và Lười Nhác
1	2	7	Khó Làm
1	2	8	Lòng Xấu Hổ
1	2	9	Căn Chòi
1	2	10	Samiddhi
1	7	1	Tên Gọi
1	7	2	Tâm
1	7	3	Ái
1	7	4	Kiết Sử
1	7	5	Trói Buộc
1	7	6	Bị Tai Họa
1	7	7	Bị Treo
1	7	8	Che Kín
1	7	9	Ước Muốn
1	7	10	Thế Gian
1	8	1	Cắt Đứt
1	8	2	Cỗ Xe
1	8	3	Tâm
1	8	4	Mưa
1	8	5	Sợ Hãi
1	8	6	Không Già
1	8	7	Quyền Lực
1	8	8	Dục
1	8	9	Hành Lương
1	8	10	Ánh Sáng
1	8	11	Vô Tranh
2	3	1	Siva
2	3	2	Khema
2	3	3	Serī
2	3	4	Ghaṭīkāra
2	3	5	Jantu
2	3	6	Rohitassa
2	3	7	Nanda
2	3	8	Nandivisāla
2	3	9	Susima
2	3	10	Đệ Tử Ngoại Đạo
3	1	1	Người Trẻ Tuổi
3	1	2	Người
3	1	3	Già Chết
3	1	4	Thân Yêu
3	1	5	Tự Hộ Trì
3	1	6	Ít
3	1	7	Tranh Tụng
3	1	8	Mallikā
3	1	9	Tế Lễ
3	1	10	Trói Buộc
3	2	1	Bảy Người Bện Tóc
3	2	2	Năm Vị Vua
3	2	3	Nồi Cơm Đấu
3	2	4	Chiến Trận Thứ Nhất
3	2	5	Chiến Trận Thứ Hai
3	2	6	Mallikā
3	2	7	Không Phóng Dật
3	2	8	Bạn Lành
3	2	9	Người Không Con Thứ Nhất
3	2	10	Người Không Con Thứ Hai
3	3	1	Hạng Người
3	3	2	Bà Nội
3	3	3	Thế Gian
3	3	4	Cung Thuật
3	3	5	Ví Dụ Núi
4	1	1	Nghiệp Khổ Hạnh
4	1	2	Voi Chúa
4	1	3	Đẹp
4	1	4	Lưới Thứ Nhất
4	1	5	Lưới Thứ Hai
4	1	6	Rắn
4	1	7	Ngủ
4	1	8	Hoan Hỷ
4	1	9	Thọ Mạng Thứ Nhất
4	1	10	Thọ Mạng Thứ Hai
4	2	1	Đá
4	2	2	Sư Tử Rống
4	2	3	Mảnh Đá
4	2	4	Thích Hợp
4	2	5	Bẫy Ý
4	2	6	Bình Bát
4	2	7	Sáu Xúc Xứ
4	2	8	Đồ Khất Thực
4	2	9	Nông Phu
4	2	10	Vương Quốc
4	3	1	Sambahula
4	3	2	Samiddhi
4	3	3	Godhika
4	3	4	Bảy Năm
4	3	5	Con Gái Ác Ma
5	1	1	Āḷavikā
5	1	2	Somā
5	1	3	Gotamī
5	1	4	Vijayā
5	1	5	Uppalavaṇṇā
5	1	6	Cālā
5	1	7	Upacālā
5	1	8	Sīsupacālā
5	1	9	Selā
5	1	10	Vajirā
6	1	1	Thỉnh Cầu
6	1	2	Cung Kính
6	1	3	Brahmadeva
6	1	4	Phạm Thiên Baka
6	1	5	Tà Kiến Khác
6	1	6	Phóng Dật
6	1	7	Kokālika
6	1	8	Tissa
6	1	9	Phạm Thiên Turū
6	1	10	Kokālika Sau
6	2	1	Phạm Thiên Sanaṅkumāra
6	2	2	Devadatta
6	2	3	Andhakavinda
6	2	4	Aruṇavatī
6	2	5	Niết-bàn
