pj	1	Verañja
pj	2	Hành Dâm
pj	3	Lấy Của Không Cho
pj	4	Giết Người
pj	5	Pháp Siêu Nhân
pj	6	Cố Ý Xuất Tinh
pj	7	Thân Xúc
pj	8	Lời Thô Tục
pj	9	Tự Khen Hầu Hạ
pj	10	Mai Mối
pj	11	Làm Cốc
pj	12	Xây Tịnh Xá
pj	13	Vu Khống Vô Căn
pj	14	Vu Khống Có Cớ
pj	15	Phá Tăng
pj	16	Theo Phá Tăng
pj	17	Khó Dạy
pj	18	Làm Hư Gia Tộc
pj	19	Bất Định Thứ Nhất
pj	20	Bất Định Thứ Hai
pj	21	Kaṭhina Thứ Nhất
pj	22	Kho Y
pj	23	Kaṭhina Thứ Ba
pj	24	Y Cũ
pj	25	Nhận Y
pj	26	Xin Y Người Lạ
pj	27	Xin Quá Mức
pj	28	Y Đã Sắm
pj	29	Y Đã Sắm Thứ Hai
pj	30	Vua
pj	31	Tơ Tằm
pj	32	Len Đen Thuần
pj	33	Hai Phần
pj	34	Sáu Năm
pj	35	Tọa Cụ Thảm
pj	36	Lông Chiên
pj	37	Giặt Lông Chiên
pj	38	Vàng Bạc
pj	39	Giao Dịch Vàng Bạc
pj	40	Mua Bán
pj	41	Bát
pj	42	Bát Chưa Đủ Năm Chỗ Vá
pj	43	Thuốc
pj	44	Y Tắm Mưa
pj	45	Đoạt Y
pj	46	Xin Chỉ
pj	47	Thợ Dệt
pj	48	Y Cấp Tốc
pj	49	Trú Xứ Nguy Hiểm
pj	50	Lợi Dưỡng Đã Hồi Hướng
pc	1	Nói Dối
pc	2	Mắng Nhiếc
pc	3	Nói Đâm Thọc
pc	4	Dạy Pháp Từng Câu
pc	5	Nằm Chung
pc	6	Nằm Chung Với Người Nữ
pc	7	Thuyết Pháp Cho Người Nữ
pc	8	Tuyên Bố Pháp Thượng Nhân
pc	9	Tuyên Bố Tội Thô
pc	10	Đào Đất
pc	11	Hủy Hoại Cây Cỏ
pc	12	Trả Lời Lạc Đề
pc	13	Gièm Pha
pc	14	Dụng Cụ Nằm Thứ Nhất
pc	15	Dụng Cụ Nằm Thứ Hai
pc	16	Chen Vào Nằm
pc	17	Đuổi Ra
pc	18	Cốc Trên Gác
pc	19	Tịnh Xá Lớn
pc	20	Nước Có Sinh Vật
pc	21	Giáo Giới
pc	22	Mặt Trời Lặn
pc	23	Ni Viện
pc	24	Vì Vật Thực
pc	25	Cho Y
pc	26	May Y
pc	27	Hẹn Đi Chung
pc	28	Lên Thuyền
pc	29	Sắm Sẵn
pc	30	Ngồi Chỗ Kín
pc	31	Cơm Nhà Trọ
pc	32	Ăn Chung Nhóm
pc	33	Ăn Bữa Khác
pc	34	Mẹ Của Kāṇā
pc	35	Từ Chối Lần Thứ Nhất
pc	36	Từ Chối Lần Thứ Hai
pc	37	Ăn Phi Thời
pc	38	Tích Trữ Thức Ăn
pc	39	Thực Phẩm Hảo Hạng
pc	40	Tăm Xỉa Răng
pc	41	Lõa Thể
pc	42	Khiển Đi
