kp	1	Ba Quy Y	Saraṇattayaṃ
kp	2	Mười Học Giới	Dasasikkhāpadaṃ
kp	3	Ba Mươi Hai Thể	Dvattiṃsākāro
kp	4	Câu Hỏi Đồng Tử	Kumārapañhā
kp	5	Kinh Điềm Lành	Maṅgalasuttaṃ
kp	6	Kinh Châu Báu	Ratanasuttaṃ
kp	7	Kinh Ngoài Tường	Tirokuṭṭasuttaṃ
kp	8	Kinh Kho Tàng	Nidhikaṇḍasuttaṃ
kp	9	Kinh Từ Tâm	Mettasuttaṃ
dhp	1	Phẩm Song Đôi	Yamakavaggo
dhp	2	Phẩm Không Phóng Dật	Appamādavaggo
dhp	3	Phẩm Tâm	Cittavaggo
dhp	4	Phẩm Hoa	Pupphavaggo
dhp	5	Phẩm Người Ngu	Bālavaggo
dhp	6	Phẩm Hiền Trí	Paṇḍitavaggo
dhp	7	Phẩm A-la-hán	Arahantavaggo
dhp	8	Phẩm Ngàn	Sahassavaggo
dhp	9	Phẩm Ác	Pāpavaggo
dhp	10	Phẩm Hình Phạt	Daṇḍavaggo
dhp	11	Phẩm Già	Jarāvaggo
dhp	12	Phẩm Tự Ngã	Attavaggo
dhp	13	Phẩm Thế Gian	Lokavaggo
dhp	14	Phẩm Phật	Buddhavaggo
dhp	15	Phẩm An Lạc	Sukhavaggo
dhp	16	Phẩm Thương Yêu	Piyavaggo
dhp	17	Phẩm Phẫn Nộ	Kodhavaggo
dhp	18	Phẩm Cáu Bẩn	Malavaggo
dhp	19	Phẩm Trụ Pháp	Dhammaṭṭhavaggo
dhp	20	Phẩm Đạo	Maggavaggo
dhp	21	Phẩm Tạp	Pakiṇṇakavaggo
dhp	22	Phẩm Địa Ngục	Nirayavaggo
dhp	23	Phẩm Voi	Nāgavaggo
dhp	24	Phẩm Ái	Taṇhāvaggo
dhp	25	Phẩm Tỷ-kheo	Bhikkhuvaggo
dhp	26	Phẩm Bà-la-môn	Brāhmaṇavaggo
ud	1	Kinh Bồ-đề	Paṭhamabodhisuttaṃ
ud	2	Kinh Bồ-đề	Dutiyabodhisuttaṃ
ud	3	Kinh Bồ-đề	Tatiyabodhisuttaṃ
ud	4	Kinh Hum-hung-ca	Huṃhuṅkasuttaṃ
ud	5	Kinh Bà-la-môn	Brāhmaṇasuttaṃ
ud	6	Kinh Ma-ha-ca-diếp	Mahākassapasuttaṃ
ud	7	Kinh A-xa-ca-la-ba-ca	Ajakalāpakasuttaṃ
ud	8	Kinh San-ga-ma-xi	Saṅgāmajisuttaṃ
ud	9	Kinh Bện Tóc	Jaṭilasuttaṃ
ud	10	Kinh Bà-hi	Bāhiyasuttaṃ
ud	11	Kinh Mục Kiền Liên Đà	Mucalindasuttaṃ
ud	12	Kinh Vua	Rājasuttaṃ
ud	13	Kinh Gậy	Daṇḍasuttaṃ
ud	14	Kinh Cung Kính	Sakkārasuttaṃ
ud	15	Kinh Cư Sĩ	Upāsakasuttaṃ
ud	16	Kinh Người Mang Thai	Gabbhinīsuttaṃ
ud	17	Kinh Con Một	Ekaputtakasuttaṃ
ud	18	Kinh Su-ba-ba-sa	Suppavāsāsuttaṃ
ud	19	Kinh Tỳ-xá-khư	Visākhāsuttaṃ
ud	20	Kinh Ba-đi-da	Bhaddiyasuttaṃ
ud	21	Kinh Quả Nghiệp Sanh	Kammavipākajasuttaṃ
ud	22	Kinh Nan-đa	Nandasuttaṃ
